年月,変動金利（赤）,固定3年（緑）,固定10年（青）,政策金利,10年国債金利（長期金利）,ドル円レート,日経平均株価,都心23区,都心6区,城南・城西6区,城北・城東11区,大阪6区,名古屋3区,備考
2019-02,2.475,2.95,3.2,-0.1,-0.019,111.38,"21,385","5,472","7,609","5,458","4,227","4,139","3,106",
2019-03,2.475,2.95,3.2,-0.1,-0.082,110.68,"21,206","5,489","7,622","5,460","4,217","4,213","3,035",
2019-04,2.475,2.95,3.2,-0.1,-0.045,111.40,"22,259","5,550","7,732","5,499","4,222","4,209","3,033",
2019-05,2.475,2.95,3.2,-0.1,-0.092,108.66,"20,601","5,541","7,772","5,475","4,222","4,270","2,974",
2019-06,2.475,2.95,3.05,-0.1,-0.156,107.84,"21,276","5,459","7,787","5,358","4,187","4,355","2,963",
2019-07,2.475,2.95,3.05,-0.1,-0.157,108.58,"21,522","5,573","7,868","5,458","4,245","4,359","3,007",
2019-08,2.475,2.95,3.05,-0.1,-0.275,106.30,"20,704","5,637","7,958","5,481","4,286","4,385","2,992",
2019-09,2.475,2.95,3.05,-0.1,-0.206,108.11,"21,756","5,764","8,065","5,515","4,316","4,401","2,984",
2019-10,2.475,2.95,3.05,-0.1,-0.139,108.09,"22,927","5,609","8,027","5,418","4,253","4,467","2,884",
2019-11,2.475,2.95,3.05,-0.1,-0.075,109.47,"23,294","5,609","8,050","5,448","4,295","4,477","2,890",
2019-12,2.475,2.95,3.05,-0.1,-0.015,108.67,"23,657","5,635","8,109","5,464","4,307","4,564","2,935",
2020-01,2.475,2.95,3.05,-0.1,-0.061,108.50,"23,205","5,662","8,154","5,466","4,328","4,453","3,049",
2020-02,2.475,2.95,3.05,-0.1,-0.153,108.12,"21,143","5,666","8,203","5,461","4,310","4,427","2,893",
2020-03,2.475,2.95,3.05,-0.1,0.031,107.53,"18,917","5,673","8,282","5,511","4,300","4,567","2,942",
2020-04,2.475,2.95,3.05,-0.1,-0.036,106.94,"20,194","5,736","8,345","5,541","4,305","4,635","2,942",
2020-05,2.475,2.95,3.05,-0.1,0.009,107.77,"21,878","5,692","8,373","5,487","4,275","4,611","2,952",
2020-06,2.475,3,3.15,-0.1,0.042,107.77,"22,288","5,664","8,294","5,492","4,283","4,530","2,965",
2020-07,2.475,3,3.15,-0.1,0.018,105.78,"21,710","5,721","8,411","5,546","4,279","4,569","3,008",
2020-08,2.475,3,3.15,-0.1,0.056,105.84,"23,140","5,768","8,506","5,559","4,296","4,527","2,958",
2020-09,2.475,3,3.15,-0.1,0.027,105.58,"23,185","5,827","8,582","5,587","4,315","4,525","2,960",
2020-10,2.475,3,3.15,-0.1,0.041,104.54,"22,977","5,855","8,546","5,654","4,326","4,508","2,962",
2020-11,2.475,3,3.15,-0.1,0.034,104.38,"26,434","5,931","8,564","5,762","4,392","4,491","2,952",
2020-12,2.475,3,3.15,-0.1,0.035,103.19,"27,444","5,997","8,662","5,806","4,420","4,533","2,985",
2021-01,2.475,3,3.15,-0.1,0.056,104.64,"27,663","6,041","8,786","5,830","4,446","4,577","3,021",
2021-02,2.475,3,3.15,-0.1,0.168,106.64,"28,966","6,071","8,856","5,827","4,485","4,626","2,995",
2021-03,2.475,3,3.15,-0.1,0.104,110.61,"29,179","6,141","8,916","5,932","4,562","4,638","3,104",
2021-04,2.475,3,3.15,-0.1,0.095,109.33,"28,813","6,272","9,112","5,972","4,608","4,659","3,174",
2021-05,2.475,3,3.15,-0.1,0.084,109.83,"28,860","6,306","9,117","6,015","4,639","4,683","3,172",
2021-06,2.475,3.05,3.2,-0.1,0.070,111.05,"28,792","6,329","9,164","6,018","4,670","4,755","3,179",
2021-07,2.475,3.05,3.2,-0.1,0.022,109.70,"27,284","6,380","9,171","6,126","4,747","4,709","3,219",
2021-08,2.475,3.05,3.2,-0.1,0.030,110.05,"28,090","6,427","9,252","6,164","4,775","4,804","3,308",
2021-09,2.475,3.05,3.2,-0.1,0.081,111.50,"29,453","6,435","9,239","6,212","4,828","4,826","3,284",
2021-10,2.475,3.05,3.2,-0.1,0.101,114.03,"28,893","6,465","9,262","6,272","4,860","4,802","3,372",
2021-11,2.475,3.05,3.2,-0.1,0.067,113.22,"27,822","6,522","9,363","6,329","4,908","4,816","3,401",
2021-12,2.475,3.05,3.2,-0.1,0.089,115.17,"28,792","6,602","9,411","6,412","4,963","4,863","3,474",
2022-01,2.475,3.05,3.2,-0.1,0.177,115.22,"27,002","6,670","9,531","6,492","5,012","4,875","3,455",
2022-02,2.475,3.05,3.2,-0.1,0.191,115.11,"26,527","6,702","9,616","6,515","5,051","4,891","3,457",
2022-03,2.475,3.05,3.2,-0.1,0.218,121.44,"27,821","6,784","9,696","6,566","5,126","4,922","3,521",
2022-04,2.475,3.05,3.2,-0.1,0.220,129.84,"26,848","6,795","9,735","6,556","5,173","4,922","3,503",
2022-05,2.475,3.05,3.2,-0.1,0.246,128.53,"27,280","6,799","9,772","6,597","5,168","4,959","3,577",
2022-06,2.475,3.1,3.5,-0.1,0.242,135.69,"26,393","6,840","9,791","6,683","5,219","5,001","3,505",日銀：YCC（イールドカーブ・コントロール）により長期金利を0.25%に抑制
2022-07,2.475,3.1,3.5,-0.1,0.185,133.25,"27,802","6,846","9,811","6,679","5,256","5,196","3,563",
2022-08,2.475,3.1,3.5,-0.1,0.235,138.69,"28,092","6,884","9,832","6,714","5,287","5,300","3,589",
2022-09,2.475,3.1,3.5,-0.1,0.277,144.71,"25,937","6,926","9,868","6,743","5,326","5,208","3,614",
2022-10,2.475,3.1,3.5,-0.1,0.253,148.63,"27,587","6,971","9,950","6,762","5,348","5,246","3,701",
2022-11,2.475,3.1,3.5,-0.1,0.276,139.31,"27,969","6,945","10,013","6,741","5,342","5,305","3,671",
2022-12,2.475,3.1,3.5,-0.1,0.454,131.81,"26,095","6,941","9,983","6,799","5,339","5,271","3,679",
2023-01,2.475,3.1,3.5,-0.1,0.511,130.17,"27,327","6,939","9,965","6,848","5,328","5,249","3,675",
2023-02,2.475,3.1,3.5,-0.1,0.524,136.09,"27,446","6,977","10,038","6,853","5,312","5,273","3,746",
2023-03,2.475,3.1,3.5,-0.1,0.389,132.75,"28,041","7,034","10,178","6,932","5,309","5,276","3,768",
2023-04,2.475,3.1,3.5,-0.1,0.403,135.99,"28,856","7,049","10,225","6,934","5,295","5,319","3,734",
2023-05,2.475,3.1,3.5,-0.1,0.448,139.78,"30,888","7,047","10,256","6,886","5,304","5,312","3,705",
2023-06,2.475,3.3,3.8,-0.1,0.426,144.47,"33,189","7,039","10,301","6,889","5,294","5,368","3,696",
2023-07,2.475,3.3,3.8,-0.1,0.605,142.18,"33,172","7,034","10,352","6,885","5,298","5,381","3,655",
2023-08,2.475,3.3,3.8,-0.1,0.657,145.68,"32,619","7,030","10,426","6,876","5,292","5,347","3,697",
2023-09,2.475,3.3,3.8,-0.1,0.774,149.43,"31,858","7,034","10,352","6,885","5,298","5,381","3,655",
2023-10,2.475,3.3,3.8,-0.1,0.952,151.46,"30,859","7,030","10,426","6,876","5,292","5,347","3,697",日銀：YCCの運用柔軟化、長期金利の上限1.0%容認により長期金利が急上昇
2023-11,2.475,3.3,3.8,-0.1,0.691,147.87,"33,487","7,098","10,604","6,935","5,309","5,321","3,651",
2023-12,2.475,3.3,3.8,-0.1,0.647,140.92,"33,464","7,144","10,995","6,905","5,313","5,218","3,610",
2024-01,2.475,3.3,3.8,-0.1,0.737,146.26,"36,287","7,185","11,138","6,911","5,346","5,335","3,624",
2024-02,2.475,3.3,3.8,-0.1,0.724,149.90,"39,166","7,204","11,380","6,876","5,351","5,351","3,642",
2024-03,2.475,3.3,3.8,0.1,0.750,151.22,"40,369","7,242","11,507","6,914","5,347","5,460","3,597",日銀：マイナス金利およびYCCの撤廃（金利自由化へ）
2024-04,2.475,3.3,3.8,0.1,0.879,157.54,"38,406","7,231","11,588","6,942","5,300","5,547","3,620",
2024-05,2.475,3.3,3.8,0.1,1.080,157.19,"38,488","7,386","11,924","7,030","5,339","5,753","3,713",
2024-06,2.475,3.4,3.9,0.1,1.062,160.88,"39,583","7,475","12,058","7,195","5,390","5,836","3,677",市場：長期金利が11年ぶりに1.0%台に到達
2024-07,2.475,3.4,3.9,0.25,1.070,150.38,"39,102","7,551","12,276","7,231","5,412","6,052","3,780",日銀：追加利上げ
2024-08,2.475,3.4,3.9,0.25,0.922,145.95,"38,648","7,750","12,756","7,351","5,484","6,203","3,730",
2024-09,2.475,3.5,4,0.25,0.894,143.25,"37,920","8,053","13,407","7,448","5,639","6,280","3,753",
2024-10,2.475,3.5,4,0.25,0.947,152.35,"39,081","8,309","13,800","7,566","5,742","6,381","3,732",
2024-11,2.475,3.5,4,0.25,1.064,150.41,"38,208","8,531","14,128","7,633","5,868","6,399","3,568",
2024-12,2.475,3.5,4,0.25,1.111,157.37,"39,895","8,722","14,330","7,693","6,000","6,682","3,746",
2025-01,2.475,3.5,4,0.5,1.250,154.91,"39,572","9,021","14,767","7,890","6,128","6,940","3,746",日銀：追加利上げ
2025-02,2.475,3.5,4,0.5,1.378,150.64,"37,156","9,135","15,107","8,043","6,094","7,147","3,869",
2025-03,2.475,3.6,4.1,0.5,1.497,149.90,"35,618","9,501","15,612","8,159","6,247","7,263","3,900",
2025-04,2.475,3.6,4.1,0.5,1.330,142.63,"36,045","9,783","16,064","8,359","6,348","7,530","3,869",
2025-05,2.475,3.6,4.1,0.5,1.518,144.18,"37,965","10,088","16,341","8,475","6,572","7,791","3,955",
2025-06,2.475,3.6,4.1,0.5,1.462,144.17,"40,487","10,333","16,415","8,623","6,703","8,007","3,927",
2025-07,2.475,3.6,4.1,0.5,1.559,150.60,"41,070","10,477","16,699","8,764","6,825","8,194","3,837",
2025-08,2.475,3.6,4.1,0.5,1.613,146.90,"42,718","10,721","17,030","9,021","6,941","8,350","3,883",
2025-09,2.475,3.6,4.1,0.5,1.662,147.97,"44,933","11,034","17,550","9,081","7,010","8,456","3,837",
2025-10,2.475,3.6,4.1,0.5,1.670,154.05,"52,411","11,183","17,717","9,228","7,055","8,599","3,860",
2025-11,2.475,3.6,4.1,0.5,1.812,156.17,"50,254","11,485","17,898","9,518","7,297","8,761","3,961",
2025-12,2.475,3.6,4.1,0.75,2.066,156.80,"50,339","11,960","18,586","9,711","7,514","8,757","3,949",日銀：追加利上げ
2026-01,2.475,3.6,4.1,0.75,2.247,154.34,"53,323","12,123","18,796","9,933","7,648","8,994","3,948",
2026-02,2.475,3.6,4.1,0.75,2.132,156.05,"58,850","12,349","18,761","10,094","7,913","9,153","4,068",
2026-03,2.475,3.6,4.1,0.75,2.366,159.08,"51,064","12,425","18,732","10,300","7,966","9,303","4,067",
2026-04,3.125,3.8,4.3,0.75,2.520,156.66,"59,285","12,724","18,822","10,514","8,174","9,324","4,154",銀行：変動ローン3.125%へ改定
2026-05,3.125,3.8,4.3,0.75,2.657,159.23,"66,330","12,849","18,748","10,674","8,294","9,292","4,096",
2026-06,3.125,3.8,4.3,1,2.690,161.67,"69,468",,,,,,,日銀：追加利上げ（1.00%化） / 長期金利も1.8%超へ上昇
